grafo,algoritmo,fluxo_maximo,tempo_ms,iteracoes,operacoes,comprimento_medio,tempo_medio_iteracao_ms,memoria_max_kb,num_vertices
matching,bfs,3920,3518,3920,185272439,4.41888,0.897449,9728,8002
matching,dfs,3920,2539,3920,20575871,113.615,0.647704,9728,8002
matching,fattest_path,3920,3342,3920,34715081,6.30102,0.852551,9728,8002
random_level,bfs,13841,13146,7400,571071353,105.029,1.77649,9856,10002
random_level,dfs,13841,19708,8121,179717585,1566.96,2.42679,10112,10002
random_level,fattest_path,13841,864,317,6724439,209.3,2.72555,10112,10002
mesh,bfs,13907,6413,6521,329540055,89.1958,0.983438,9728,6402
mesh,dfs,13907,12956,8257,140843507,1173.15,1.56909,9728,6402
mesh,fattest_path,13907,916,410,7763289,154.19,2.23415,9728,6402
basic_line,bfs,44287,21798,8206,960470977,30.5768,2.65635,13824,10002
basic_line,dfs,44287,32399,19484,275023288,691.792,1.66285,13952,10002
basic_line,fattest_path,44287,4580,652,54463835,57.6227,7.02454,14080,10002
goldbad,bfs,4000,10334,4000,272080003,4005.0,2.5835,9728,12003
goldbad,dfs,4000,14606,4000,128100032,4005.0,3.6515,9728,12003
goldbad,fattest_path,4000,27296,4000,176088003,4005.0,6.824,9728,12003
expline,bfs,100000,450,201,23554535,25.7413,2.23881,13568,10002
expline,dfs,100000,72,100,1302919,110.51,0.72,13696,10002
expline,fattest_path,100000,11,100,111999,31.4,0.11,13696,10002
